sequence_id	accession	scientific_name	sequence_length	header	source_db	retrieved_at_utc
Manis_pentadactyla|XP_036768816.2	XP_036768816.2	Manis pentadactyla	805	XP_036768816.2 angiotensin-converting enzyme 2 [Manis pentadactyla]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Ursus_arctos|XP_057166214.1	XP_057166214.1	Ursus arctos	805	XP_057166214.1 angiotensin-converting enzyme 2 isoform X1 [Ursus arctos]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Monodelphis_domestica|XP_007500939.2	XP_007500939.2	Monodelphis domestica	806	XP_007500939.2 angiotensin-converting enzyme 2 isoform X1 [Monodelphis domestica]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Psammomys_obesus|XP_055471740.1	XP_055471740.1	Psammomys obesus	805	XP_055471740.1 angiotensin-converting enzyme 2 [Psammomys obesus]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Moschus_berezovskii|XP_055294140.1	XP_055294140.1	Moschus berezovskii	804	XP_055294140.1 angiotensin-converting enzyme 2 isoform X1 [Moschus berezovskii]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Nyctereutes_procyonoides|XP_055195066.1	XP_055195066.1	Nyctereutes procyonoides	804	XP_055195066.1 angiotensin-converting enzyme 2 isoform X1 [Nyctereutes procyonoides]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Sorex_araneus|XP_004612266.1	XP_004612266.1	Sorex araneus	803	XP_004612266.1 angiotensin-converting enzyme 2 [Sorex araneus]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Acinonyx_jubatus|XP_053058075.1	XP_053058075.1	Acinonyx jubatus	805	XP_053058075.1 angiotensin-converting enzyme 2 [Acinonyx jubatus]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Eptesicus_fuscus|XP_008153150.2	XP_008153150.2	Eptesicus fuscus	811	XP_008153150.2 angiotensin-converting enzyme 2 isoform X1 [Eptesicus fuscus]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Talpa_occidentalis|XP_037369021.1	XP_037369021.1	Talpa occidentalis	802	XP_037369021.1 angiotensin-converting enzyme 2 [Talpa occidentalis]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Nycticebus_coucang|XP_053436341.1	XP_053436341.1	Nycticebus coucang	805	XP_053436341.1 angiotensin-converting enzyme 2 [Nycticebus coucang]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Artibeus_jamaicensis|XP_037013451.2	XP_037013451.2	Artibeus jamaicensis	804	XP_037013451.2 angiotensin-converting enzyme 2 [Artibeus jamaicensis]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Prionailurus_viverrinus|XP_047700805.1	XP_047700805.1	Prionailurus viverrinus	805	XP_047700805.1 angiotensin-converting enzyme 2 isoform X1 [Prionailurus viverrinus]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Phacochoerus_africanus|XP_047621781.1	XP_047621781.1	Phacochoerus africanus	805	XP_047621781.1 angiotensin-converting enzyme 2 [Phacochoerus africanus]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Lutra_lutra|XP_047571538.1	XP_047571538.1	Lutra lutra	805	XP_047571538.1 angiotensin-converting enzyme 2 isoform X1 [Lutra lutra]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Sciurus_carolinensis|XP_047391638.1	XP_047391638.1	Sciurus carolinensis	805	XP_047391638.1 angiotensin-converting enzyme 2 [Sciurus carolinensis]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Lynx_rufus|XP_046931882.1	XP_046931882.1	Lynx rufus	683	XP_046931882.1 angiotensin-converting enzyme 2 [Lynx rufus]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Equus_quagga|XP_046528602.1	XP_046528602.1	Equus quagga	805	XP_046528602.1 angiotensin-converting enzyme 2 [Equus quagga]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Orcinus_orca|XP_033283819.1	XP_033283819.1	Orcinus orca	804	XP_033283819.1 angiotensin-converting enzyme 2 isoform X1 [Orcinus orca]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Panthera_pardus|XP_019273509.1	XP_019273509.1	Panthera pardus	805	XP_019273509.1 angiotensin-converting enzyme 2 isoform X1 [Panthera pardus]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Panthera_uncia|XP_049499446.1	XP_049499446.1	Panthera uncia	805	XP_049499446.1 angiotensin-converting enzyme 2 [Panthera uncia]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Rhinolophus_ferrumequinum|XP_032963186.1	XP_032963186.1	Rhinolophus ferrumequinum	805	XP_032963186.1 angiotensin-converting enzyme 2 [Rhinolophus ferrumequinum]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Phodopus_roborovskii|XP_051035166.1	XP_051035166.1	Phodopus roborovskii	805	XP_051035166.1 angiotensin-converting enzyme 2 [Phodopus roborovskii]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Elephas_maximus_indicus|XP_049729321.1	XP_049729321.1	Elephas maximus indicus	800	XP_049729321.1 angiotensin-converting enzyme 2 isoform X1 [Elephas maximus indicus]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Suncus_etruscus|XP_049622744.1	XP_049622744.1	Suncus etruscus	803	XP_049622744.1 angiotensin-converting enzyme 2 isoform X1 [Suncus etruscus]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Budorcas_taxicolor|XP_052519536.1	XP_052519536.1	Budorcas taxicolor	810	XP_052519536.1 angiotensin-converting enzyme 2 [Budorcas taxicolor]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Apodemus_sylvaticus|XP_052027647.1	XP_052027647.1	Apodemus sylvaticus	805	XP_052027647.1 angiotensin-converting enzyme 2 [Apodemus sylvaticus]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Antechinus_flavipes|XP_051840427.1	XP_051840427.1	Antechinus flavipes	806	XP_051840427.1 angiotensin-converting enzyme 2 [Antechinus flavipes]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Acomys_russatus|XP_050998310.1	XP_050998310.1	Acomys russatus	805	XP_050998310.1 angiotensin-converting enzyme 2 [Acomys russatus]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Macaca_thibetana_thibetana|XP_050633586.1	XP_050633586.1	Macaca thibetana thibetana	805	XP_050633586.1 angiotensin-converting enzyme 2 [Macaca thibetana thibetana]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Peromyscus_californicus_insignis|XP_052600713.1	XP_052600713.1	Peromyscus californicus insignis	805	XP_052600713.1 angiotensin-converting enzyme 2 [Peromyscus californicus insignis]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Canis_lupus_dingo|XP_025292925.3	XP_025292925.3	Canis lupus dingo	804	XP_025292925.3 angiotensin-converting enzyme 2 [Canis lupus dingo]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Marmota_marmota_marmota|XP_048652301.1	XP_048652301.1	Marmota marmota marmota	817	XP_048652301.1 angiotensin-converting enzyme 2 [Marmota marmota marmota]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Myodes_glareolus|XP_048296586.1	XP_048296586.1	Myodes glareolus	812	XP_048296586.1 angiotensin-converting enzyme 2 [Myodes glareolus]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Perognathus_longimembris_pacificus|XP_048192746.1	XP_048192746.1	Perognathus longimembris pacificus	805	XP_048192746.1 angiotensin-converting enzyme 2 [Perognathus longimembris pacificus]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Meles_meles|XP_045850934.1	XP_045850934.1	Meles meles	852	XP_045850934.1 angiotensin-converting enzyme 2 isoform X1 [Meles meles]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Ursus_americanus|XP_045661026.1	XP_045661026.1	Ursus americanus	805	XP_045661026.1 angiotensin-converting enzyme 2 isoform X1 [Ursus americanus]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Phyllostomus_hastatus|XP_045711877.1	XP_045711877.1	Phyllostomus hastatus	805	XP_045711877.1 angiotensin-converting enzyme 2 [Phyllostomus hastatus]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Pipistrellus_kuhlii|XP_036295422.1	XP_036295422.1	Pipistrellus kuhlii	803	XP_036295422.1 angiotensin-converting enzyme 2 [Pipistrellus kuhlii]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Leopardus_geoffroyi|XP_045327193.1	XP_045327193.1	Leopardus geoffroyi	805	XP_045327193.1 angiotensin-converting enzyme 2 isoform X1 [Leopardus geoffroyi]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Echinops_telfairi|XP_004710002.2	XP_004710002.2	Echinops telfairi	824	XP_004710002.2 angiotensin-converting enzyme 2 [Echinops telfairi]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Bubalus_bubalis|XP_006041602.1	XP_006041602.1	Bubalus bubalis	803	XP_006041602.1 angiotensin-converting enzyme 2 isoform X1 [Bubalus bubalis]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Jaculus_jaculus|XP_004671523.1	XP_004671523.1	Jaculus jaculus	805	XP_004671523.1 angiotensin-converting enzyme 2 isoform X1 [Jaculus jaculus]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Neomonachus_schauinslandi|XP_021536480.1	XP_021536480.1	Neomonachus schauinslandi	805	XP_021536480.1 angiotensin-converting enzyme 2 isoform X1 [Neomonachus schauinslandi]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Neogale_vison|XP_044091953.1	XP_044091953.1	Neogale vison	805	XP_044091953.1 angiotensin-converting enzyme 2 [Neogale vison]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Dromiciops_gliroides|XP_043850607.1	XP_043850607.1	Dromiciops gliroides	807	XP_043850607.1 angiotensin-converting enzyme 2 [Dromiciops gliroides]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Cervus_elaphus|XP_043752042.1	XP_043752042.1	Cervus elaphus	804	XP_043752042.1 angiotensin-converting enzyme 2 [Cervus elaphus]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Prionailurus_bengalensis|XP_043425608.1	XP_043425608.1	Prionailurus bengalensis	805	XP_043425608.1 angiotensin-converting enzyme 2 isoform X1 [Prionailurus bengalensis]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Cervus_canadensis|XP_043314478.1	XP_043314478.1	Cervus canadensis	804	XP_043314478.1 angiotensin-converting enzyme 2 [Cervus canadensis]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Panthera_tigris|XP_042830021.1	XP_042830021.1	Panthera tigris	805	XP_042830021.1 angiotensin-converting enzyme 2 isoform X1 [Panthera tigris]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Orycteropus_afer_afer|XP_007951028.1	XP_007951028.1	Orycteropus afer afer	799	XP_007951028.1 angiotensin-converting enzyme 2 [Orycteropus afer afer]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Dipodomys_spectabilis|XP_042536456.1	XP_042536456.1	Dipodomys spectabilis	805	XP_042536456.1 angiotensin-converting enzyme 2 [Dipodomys spectabilis]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Arvicola_amphibius|XP_038172229.1	XP_038172229.1	Arvicola amphibius	804	XP_038172229.1 angiotensin-converting enzyme 2 isoform X1 [Arvicola amphibius]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Vulpes_lagopus|XP_041597789.1	XP_041597789.1	Vulpes lagopus	804	XP_041597789.1 angiotensin-converting enzyme 2 isoform X1 [Vulpes lagopus]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Microtus_oregoni|XP_041495910.1	XP_041495910.1	Microtus oregoni	804	XP_041495910.1 angiotensin-converting enzyme 2 [Microtus oregoni]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Ochotona_curzoniae|XP_040857138.1	XP_040857138.1	Ochotona curzoniae	805	XP_040857138.1 angiotensin-converting enzyme 2 [Ochotona curzoniae]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Mesocricetus_auratus|XP_005074266.1	XP_005074266.1	Mesocricetus auratus	805	XP_005074266.1 angiotensin-converting enzyme 2 [Mesocricetus auratus]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Ursus_maritimus|XP_040490052.1	XP_040490052.1	Ursus maritimus	805	XP_040490052.1 angiotensin-converting enzyme 2 isoform X1 [Ursus maritimus]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Oryx_dammah|XP_040122515.1	XP_040122515.1	Oryx dammah	804	XP_040122515.1 angiotensin-converting enzyme 2 [Oryx dammah]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Ornithorhynchus_anatinus|XP_001515597.2	XP_001515597.2	Ornithorhynchus anatinus	806	XP_001515597.2 angiotensin-converting enzyme 2 [Ornithorhynchus anatinus]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Hyaena_hyaena|XP_039089863.1	XP_039089863.1	Hyaena hyaena	805	XP_039089863.1 angiotensin-converting enzyme 2 isoform X1 [Hyaena hyaena]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Tachyglossus_aculeatus|XP_038612998.1	XP_038612998.1	Tachyglossus aculeatus	804	XP_038612998.1 angiotensin-converting enzyme 2 [Tachyglossus aculeatus]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Cebus_imitator|XP_017367866.1	XP_017367866.1	Cebus imitator	805	XP_017367866.1 angiotensin-converting enzyme 2 [Cebus imitator]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Choloepus_didactylus|XP_037678579.1	XP_037678579.1	Choloepus didactylus	803	XP_037678579.1 angiotensin-converting enzyme 2 isoform X1 [Choloepus didactylus]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Peromyscus_leucopus|XP_028743609.1	XP_028743609.1	Peromyscus leucopus	805	XP_028743609.1 angiotensin-converting enzyme 2 [Peromyscus leucopus]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Balaenoptera_musculus|XP_036696353.1	XP_036696353.1	Balaenoptera musculus	804	XP_036696353.1 angiotensin-converting enzyme 2 [Balaenoptera musculus]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Trichosurus_vulpecula|XP_036600738.1	XP_036600738.1	Trichosurus vulpecula	807	XP_036600738.1 angiotensin-converting enzyme 2 [Trichosurus vulpecula]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Myotis_myotis|XP_036161734.1	XP_036161734.1	Myotis myotis	819	XP_036161734.1 angiotensin-converting enzyme 2 isoform X1 [Myotis myotis]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Molossus_molossus|XP_036127493.1	XP_036127493.1	Molossus molossus	804	XP_036127493.1 angiotensin-converting enzyme 2 isoform X2 [Molossus molossus]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Rousettus_aegyptiacus|XP_015974412.2	XP_015974412.2	Rousettus aegyptiacus	805	XP_015974412.2 angiotensin-converting enzyme 2 [Rousettus aegyptiacus]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Onychomys_torridus|XP_036030683.1	XP_036030683.1	Onychomys torridus	805	XP_036030683.1 angiotensin-converting enzyme 2 [Onychomys torridus]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Lynx_canadensis|XP_030160839.1	XP_030160839.1	Lynx canadensis	805	XP_030160839.1 angiotensin-converting enzyme 2 [Lynx canadensis]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Phyllostomus_discolor|XP_035872276.1	XP_035872276.1	Phyllostomus discolor	806	XP_035872276.1 angiotensin-converting enzyme 2 [Phyllostomus discolor]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Zalophus_californianus|XP_027465354.1	XP_027465354.1	Zalophus californianus	806	XP_027465354.1 angiotensin-converting enzyme 2 [Zalophus californianus]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Cricetulus_griseus|XP_027288607.1	XP_027288607.1	Cricetulus griseus	805	XP_027288607.1 angiotensin-converting enzyme 2 [Cricetulus griseus]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Mirounga_leonina|XP_034852450.1	XP_034852450.1	Mirounga leonina	805	XP_034852450.1 angiotensin-converting enzyme 2 [Mirounga leonina]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Ailuropoda_melanoleuca|XP_034505781.1	XP_034505781.1	Ailuropoda melanoleuca	705	XP_034505781.1 angiotensin-converting enzyme 2 [Ailuropoda melanoleuca]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Fukomys_damarensis|XP_010643477.1	XP_010643477.1	Fukomys damarensis	805	XP_010643477.1 angiotensin-converting enzyme 2 [Fukomys damarensis]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Trachypithecus_francoisi|XP_033056809.1	XP_033056809.1	Trachypithecus francoisi	805	XP_033056809.1 LOW QUALITY PROTEIN: angiotensin-converting enzyme 2 [Trachypithecus francoisi]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Rattus_rattus|XP_032746145.1	XP_032746145.1	Rattus rattus	793	XP_032746145.1 angiotensin-converting enzyme 2 [Rattus rattus]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Lontra_canadensis|XP_032736029.1	XP_032736029.1	Lontra canadensis	805	XP_032736029.1 angiotensin-converting enzyme 2 [Lontra canadensis]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Phocoena_sinus|XP_032476004.1	XP_032476004.1	Phocoena sinus	804	XP_032476004.1 angiotensin-converting enzyme 2 isoform X1 [Phocoena sinus]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Camelus_ferus|XP_006194263.1	XP_006194263.1	Camelus ferus	805	XP_006194263.1 angiotensin-converting enzyme 2 [Camelus ferus]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Phoca_vitulina|XP_032245506.1	XP_032245506.1	Phoca vitulina	805	XP_032245506.1 angiotensin-converting enzyme 2 [Phoca vitulina]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Mustela_erminea|XP_032187679.1	XP_032187679.1	Mustela erminea	805	XP_032187679.1 angiotensin-converting enzyme 2 [Mustela erminea]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Sapajus_apella|XP_032141855.1	XP_032141855.1	Sapajus apella	805	XP_032141855.1 angiotensin-converting enzyme 2 [Sapajus apella]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Sarcophilus_harrisii|XP_031814825.1	XP_031814825.1	Sarcophilus harrisii	806	XP_031814825.1 LOW QUALITY PROTEIN: angiotensin-converting enzyme 2 [Sarcophilus harrisii]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Piliocolobus_tephrosceles|XP_023054821.1	XP_023054821.1	Piliocolobus tephrosceles	805	XP_023054821.1 angiotensin-converting enzyme 2 [Piliocolobus tephrosceles]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Papio_anubis|XP_021788733.1	XP_021788733.1	Papio anubis	805	XP_021788733.1 angiotensin-converting enzyme 2 [Papio anubis]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Mastomys_coucha|XP_031226742.1	XP_031226742.1	Mastomys coucha	806	XP_031226742.1 angiotensin-converting enzyme 2 [Mastomys coucha]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Rhinopithecus_roxellana|XP_010364367.2	XP_010364367.2	Rhinopithecus roxellana	805	XP_010364367.2 angiotensin-converting enzyme 2 [Rhinopithecus roxellana]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Nomascus_leucogenys|XP_003261132.2	XP_003261132.2	Nomascus leucogenys	805	XP_003261132.2 angiotensin-converting enzyme 2 [Nomascus leucogenys]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Delphinapterus_leucas|XP_022418360.1	XP_022418360.1	Delphinapterus leucas	804	XP_022418360.1 angiotensin-converting enzyme 2 [Delphinapterus leucas]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Suricata_suricatta|XP_029786256.1	XP_029786256.1	Suricata suricatta	805	XP_029786256.1 angiotensin-converting enzyme 2 [Suricata suricatta]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Nannospalax_galili|XP_008839098.1	XP_008839098.1	Nannospalax galili	804	XP_008839098.1 angiotensin-converting enzyme 2 [Nannospalax galili]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Mus_pahari|XP_021043935.1	XP_021043935.1	Mus pahari	805	XP_021043935.1 angiotensin-converting enzyme 2 [Mus pahari]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Mus_caroli|XP_021009138.1	XP_021009138.1	Mus caroli	805	XP_021009138.1 angiotensin-converting enzyme 2 [Mus caroli]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Monodon_monoceros|XP_029095808.1	XP_029095808.1	Monodon monoceros	804	XP_029095808.1 angiotensin-converting enzyme 2 [Monodon monoceros]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Grammomys_surdaster|XP_028617962.1	XP_028617962.1	Grammomys surdaster	805	XP_028617962.1 angiotensin-converting enzyme 2 [Grammomys surdaster]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Eumetopias_jubatus|XP_027970822.1	XP_027970822.1	Eumetopias jubatus	806	XP_027970822.1 angiotensin-converting enzyme 2 [Eumetopias jubatus]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Vombatus_ursinus|XP_027691156.1	XP_027691156.1	Vombatus ursinus	809	XP_027691156.1 angiotensin-converting enzyme 2 [Vombatus ursinus]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Tupaia_chinensis|XP_006164754.1	XP_006164754.1	Tupaia chinensis	805	XP_006164754.1 angiotensin-converting enzyme 2 [Tupaia chinensis]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Bos_indicus_x_Bos_taurus|XP_027389728.1	XP_027389728.1	Bos indicus x Bos taurus	811	XP_027389728.1 angiotensin-converting enzyme 2 isoform X1 [Bos indicus x Bos taurus]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Microtus_ochrogaster|XP_005358818.1	XP_005358818.1	Microtus ochrogaster	804	XP_005358818.1 angiotensin-converting enzyme 2 [Microtus ochrogaster]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Puma_concolor|XP_025790417.1	XP_025790417.1	Puma concolor	805	XP_025790417.1 angiotensin-converting enzyme 2 [Puma concolor]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Theropithecus_gelada|XP_025227847.1	XP_025227847.1	Theropithecus gelada	805	XP_025227847.1 angiotensin-converting enzyme 2 [Theropithecus gelada]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Pteropus_alecto|XP_006911709.1	XP_006911709.1	Pteropus alecto	805	XP_006911709.1 angiotensin-converting enzyme 2 [Pteropus alecto]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Neophocaena_asiaeorientalis_asiaeorientalis|XP_024599894.1	XP_024599894.1	Neophocaena asiaeorientalis asiaeorientalis	804	XP_024599894.1 angiotensin-converting enzyme 2 [Neophocaena asiaeorientalis asiaeorientalis]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Myotis_lucifugus|XP_023609438.1	XP_023609438.1	Myotis lucifugus	819	XP_023609438.1 angiotensin-converting enzyme 2 isoform X1 [Myotis lucifugus]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Octodon_degus|XP_023575316.1	XP_023575316.1	Octodon degus	831	XP_023575316.1 angiotensin-converting enzyme 2 [Octodon degus]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Otolemur_garnettii|XP_003791912.1	XP_003791912.1	Otolemur garnettii	805	XP_003791912.1 angiotensin-converting enzyme 2 [Otolemur garnettii]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Carlito_syrichta|XP_008062810.1	XP_008062810.1	Carlito syrichta	805	XP_008062810.1 angiotensin-converting enzyme 2 [Carlito syrichta]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Heterocephalus_glaber|XP_004866157.1	XP_004866157.1	Heterocephalus glaber	805	XP_004866157.1 angiotensin-converting enzyme 2 [Heterocephalus glaber]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Hipposideros_armiger|XP_019522954.1	XP_019522954.1	Hipposideros armiger	806	XP_019522954.1 PREDICTED: angiotensin-converting enzyme 2 [Hipposideros armiger]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Rhinopithecus_bieti|XP_017744070.1	XP_017744070.1	Rhinopithecus bieti	724	XP_017744070.1 PREDICTED: angiotensin-converting enzyme 2 [Rhinopithecus bieti]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Miniopterus_natalensis|XP_016058453.1	XP_016058453.1	Miniopterus natalensis	804	XP_016058453.1 PREDICTED: angiotensin-converting enzyme 2 [Miniopterus natalensis]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Myotis_davidii|XP_015426918.1	XP_015426918.1	Myotis davidii	819	XP_015426918.1 PREDICTED: angiotensin-converting enzyme 2 isoform X1 [Myotis davidii]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
Myotis_brandtii|XP_014399781.1	XP_014399781.1	Myotis brandtii	819	XP_014399781.1 PREDICTED: angiotensin-converting enzyme 2 isoform X1 [Myotis brandtii]	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00
