accession	protein_id	header	sequence_length	source_db	retrieved_at_utc	query
XP_074048484.1	2990475300	XP_074048484.1 angiotensin-converting enzyme 2 isoform X1 [Macrotis lagotis]	822	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_074048482.1	2990475298	XP_074048482.1 angiotensin-converting enzyme 2 isoform X1 [Macrotis lagotis]	822	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_074048481.1	2990475296	XP_074048481.1 angiotensin-converting enzyme 2 isoform X1 [Macrotis lagotis]	822	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_073920481.1	2979470343	XP_073920481.1 angiotensin-converting enzyme 2 [Castor canadensis]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_005593094.3	2739348941	XP_005593094.3 angiotensin-converting enzyme 2 [Macaca fascicularis]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_025713397.2	2972798974	XP_025713397.2 angiotensin-converting enzyme 2 [Callorhinus ursinus]	806	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_073654949.1	2971813025	XP_073654949.1 angiotensin-converting enzyme 2 isoform X3 [Tursiops truncatus]	457	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_073654948.1	2971813023	XP_073654948.1 angiotensin-converting enzyme 2 isoform X2 [Tursiops truncatus]	557	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_019781177.2	1835256709	XP_019781177.2 angiotensin-converting enzyme 2 isoform X1 [Tursiops truncatus]	804	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
NP_001012006.1	58865588	NP_001012006.1 angiotensin-converting enzyme 2 precursor [Rattus norvegicus]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
NP_001019673.2	89191841	NP_001019673.2 angiotensin-converting enzyme 2 precursor [Bos taurus]	804	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
NP_001034545.1	86604717	NP_001034545.1 angiotensin-converting enzyme 2 precursor [Felis catus]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_073083423.1	2957842766	XP_073083423.1 angiotensin-converting enzyme 2 [Manis javanica]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_073083422.1	2957842763	XP_073083422.1 angiotensin-converting enzyme 2 [Manis javanica]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_017505752.1	1048398695	XP_017505752.1 angiotensin-converting enzyme 2 [Manis javanica]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_037842285.1	1938902030	XP_037842285.1 angiotensin-converting enzyme 2 [Chlorocebus sabaeus]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_006212709.2	2953145379	XP_006212709.2 angiotensin-converting enzyme 2 [Vicugna pacos]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_063559059.1	2695108863	XP_063559059.1 angiotensin-converting enzyme 2 [Gorilla gorilla gorilla]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_055232617.1	2493543527	XP_055232617.1 angiotensin-converting enzyme 2 [Gorilla gorilla gorilla]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_055232616.1	2493543522	XP_055232616.1 angiotensin-converting enzyme 2 [Gorilla gorilla gorilla]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_018874749.1	1099314176	XP_018874749.1 angiotensin-converting enzyme 2 [Gorilla gorilla gorilla]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
NP_001297119.1	864508487	NP_001297119.1 angiotensin-converting enzyme 2 precursor [Mustela putorius furo]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
NP_001277036.1	587651911	NP_001277036.1 angiotensin-converting enzyme 2 precursor [Capra hircus]	804	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
NP_001269290.1	537544589	NP_001269290.1 angiotensin-converting enzyme 2 precursor [Chinchilla lanigera]	804	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
NP_001158732.1	259089442	NP_001158732.1 angiotensin-converting enzyme 2 precursor [Canis lupus familiaris]	804	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
NP_001116542.1	178056703	NP_001116542.1 angiotensin-converting enzyme 2 precursor [Sus scrofa]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_072671637.1	2947585182	XP_072671637.1 angiotensin-converting enzyme 2 [Canis lupus baileyi]	804	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_072671636.1	2947585180	XP_072671636.1 angiotensin-converting enzyme 2 [Canis lupus baileyi]	804	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_025842513.2	2947379272	XP_025842513.2 angiotensin-converting enzyme 2 [Vulpes vulpes]	804	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_072599822.1	2947379268	XP_072599822.1 angiotensin-converting enzyme 2 [Vulpes vulpes]	804	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
NP_001376331.1	1947007835	NP_001376331.1 angiotensin-converting enzyme 2 isoform 3 precursor [Homo sapiens]	694	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
NP_001375381.1	1928115394	NP_001375381.1 angiotensin-converting enzyme 2 isoform 4 [Homo sapiens]	459	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
NP_001373189.1	1890603672	NP_001373189.1 angiotensin-converting enzyme 2 isoform 3 precursor [Homo sapiens]	694	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
NP_001373188.1	1890603670	NP_001373188.1 angiotensin-converting enzyme 2 isoform 2 precursor [Homo sapiens]	786	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
NP_001358344.1	1700998532	NP_001358344.1 angiotensin-converting enzyme 2 isoform 1 precursor [Homo sapiens]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
NP_068576.1	11225609	NP_068576.1 angiotensin-converting enzyme 2 isoform 1 precursor [Homo sapiens]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_072470407.1	2945344453	XP_072470407.1 angiotensin-converting enzyme 2 [Notamacropus eugenii]	807	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_072470406.1	2945344450	XP_072470406.1 angiotensin-converting enzyme 2 [Notamacropus eugenii]	807	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_072470405.1	2945344446	XP_072470405.1 angiotensin-converting enzyme 2 [Notamacropus eugenii]	807	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_072470404.1	2945344443	XP_072470404.1 angiotensin-converting enzyme 2 [Notamacropus eugenii]	807	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_072470403.1	2945344439	XP_072470403.1 angiotensin-converting enzyme 2 [Notamacropus eugenii]	807	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_072470401.1	2945344435	XP_072470401.1 angiotensin-converting enzyme 2 [Notamacropus eugenii]	807	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_071462140.1	2919616330	XP_071462140.1 angiotensin-converting enzyme 2 isoform X2 [Marmota flaviventris]	696	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_071462139.1	2919616328	XP_071462139.1 angiotensin-converting enzyme 2 isoform X1 [Marmota flaviventris]	807	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_024425698.2	2451163068	XP_024425698.2 angiotensin-converting enzyme 2 [Desmodus rotundus]	804	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_004449124.1	488514198	XP_004449124.1 angiotensin-converting enzyme 2 [Dasypus novemcinctus]	804	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_054942302.1	2487113351	XP_054942302.1 angiotensin-converting enzyme 2 isoform X2 [Physeter macrocephalus]	804	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_054942301.1	2487113349	XP_054942301.1 angiotensin-converting enzyme 2 isoform X1 [Physeter macrocephalus]	457	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_019811720.2	2878557292	XP_019811720.2 angiotensin-converting enzyme 2 isoform X2 [Bos indicus]	804	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_019811719.2	2878557290	XP_019811719.2 angiotensin-converting enzyme 2 isoform X1 [Bos indicus]	811	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_070459854.1	2873556978	XP_070459854.1 angiotensin-converting enzyme 2 [Equus przewalskii]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_024843618.1	1387293608	XP_024843618.1 angiotensin-converting enzyme 2 isoform X1 [Bos taurus]	811	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_008542995.1	664770841	XP_008542995.1 angiotensin-converting enzyme 2 [Equus przewalskii]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_070318735.1	2871636869	XP_070318735.1 angiotensin-converting enzyme 2 isoform X2 [Odocoileus virginianus]	796	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_070318734.1	2871636867	XP_070318734.1 angiotensin-converting enzyme 2 isoform X1 [Odocoileus virginianus]	804	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_070318733.1	2871636865	XP_070318733.1 angiotensin-converting enzyme 2 isoform X1 [Odocoileus virginianus]	804	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_044620396.1	2124543969	XP_044620396.1 angiotensin-converting enzyme 2 [Equus asinus]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_070221898.1	2868714025	XP_070221898.1 angiotensin-converting enzyme 2 isoform X3 [Bos mutus]	750	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_070221897.1	2868714022	XP_070221897.1 angiotensin-converting enzyme 2 isoform X1 [Bos mutus]	811	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_070147447.1	2868631313	XP_070147447.1 angiotensin-converting enzyme 2 isoform X2 [Ovis canadensis]	804	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_070147446.1	2868631310	XP_070147446.1 angiotensin-converting enzyme 2 isoform X1 [Ovis canadensis]	811	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_005903173.1	555982534	XP_005903173.1 angiotensin-converting enzyme 2 isoform X2 [Bos mutus]	804	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_070113054.1	2868119146	XP_070113054.1 angiotensin-converting enzyme 2 [Equus caballus]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_001490241.2	2868119144	XP_001490241.2 angiotensin-converting enzyme 2 [Equus caballus]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_002719891.2	2862956318	XP_002719891.2 angiotensin-converting enzyme 2 [Oryctolagus cuniculus]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_051682905.2	2862956316	XP_051682905.2 angiotensin-converting enzyme 2 [Oryctolagus cuniculus]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_069896933.1	2859799097	XP_069896933.1 angiotensin-converting enzyme 2 [Dipodomys merriami]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_059858066.2	2842153808	XP_059858066.2 angiotensin-converting enzyme 2 [Delphinus delphis]	483	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_069320479.1	2838005560	XP_069320479.1 angiotensin-converting enzyme 2 isoform X2 [Eulemur rufifrons]	720	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_069320478.1	2838005558	XP_069320478.1 angiotensin-converting enzyme 2 isoform X1 [Eulemur rufifrons]	831	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_068956742.1	2826435541	XP_068956742.1 angiotensin-converting enzyme 2 isoform X2 [Petaurus breviceps papuanus]	687	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_068956741.1	2826435538	XP_068956741.1 angiotensin-converting enzyme 2 isoform X1 [Petaurus breviceps papuanus]	806	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_068956740.1	2826435535	XP_068956740.1 angiotensin-converting enzyme 2 isoform X1 [Petaurus breviceps papuanus]	806	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_068818348.1	2813727557	XP_068818348.1 angiotensin-converting enzyme 2 isoform X3 [Capricornis sumatraensis]	693	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_068818347.1	2813727555	XP_068818347.1 angiotensin-converting enzyme 2 isoform X2 [Capricornis sumatraensis]	803	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_068818345.1	2813727553	XP_068818345.1 angiotensin-converting enzyme 2 isoform X1 [Capricornis sumatraensis]	810	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_068389481.1	2806611842	XP_068389481.1 angiotensin-converting enzyme 2 [Eschrichtius robustus]	804	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_050016622.1	2287738949	XP_050016622.1 angiotensin-converting enzyme 2 [Alexandromys fortis]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_067579140.1	2791955392	XP_067579140.1 angiotensin-converting enzyme 2 isoform X3 [Pseudorca crassidens]	557	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_067579139.1	2791955390	XP_067579139.1 angiotensin-converting enzyme 2 isoform X2 [Pseudorca crassidens]	730	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_067579138.1	2791955388	XP_067579138.1 angiotensin-converting enzyme 2 isoform X1 [Pseudorca crassidens]	804	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_067579137.1	2791955386	XP_067579137.1 angiotensin-converting enzyme 2 isoform X1 [Pseudorca crassidens]	804	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_066880271.1	2782187209	XP_066880271.1 angiotensin-converting enzyme 2 [Kogia breviceps]	804	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_066880270.1	2782187207	XP_066880270.1 angiotensin-converting enzyme 2 [Kogia breviceps]	804	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_058906840.1	2566775621	XP_058906840.1 angiotensin-converting enzyme 2 [Kogia breviceps]	804	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_063490633.1	2694562698	XP_063490633.1 angiotensin-converting enzyme 2 isoform X3 [Symphalangus syndactylus]	694	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_063490632.1	2694562696	XP_063490632.1 angiotensin-converting enzyme 2 isoform X2 [Symphalangus syndactylus]	790	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_063490631.1	2694562694	XP_063490631.1 angiotensin-converting enzyme 2 isoform X1 [Symphalangus syndactylus]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_055125219.1	2491731149	XP_055125219.1 angiotensin-converting enzyme 2 isoform X4 [Symphalangus syndactylus]	459	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_066212217.1	2756209617	XP_066212217.1 angiotensin-converting enzyme 2 [Saccopteryx leptura]	813	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_066104956.1	2753731495	XP_066104956.1 angiotensin-converting enzyme 2 [Saccopteryx bilineata]	813	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_065771252.1	2746079083	XP_065771252.1 angiotensin-converting enzyme 2 [Muntiacus reevesi]	804	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_065756439.1	2745978467	XP_065756439.1 LOW QUALITY PROTEIN: angiotensin-converting enzyme 2 [Phocoena phocoena]	804	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_045742014.1	2177996751	XP_045742014.1 angiotensin-converting enzyme 2 [Mirounga angustirostris]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_031301717.1	1768780744	XP_031301717.1 angiotensin-converting enzyme 2 [Camelus dromedarius]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_012290105.2	2715661567	XP_012290105.2 angiotensin-converting enzyme 2 [Aotus nancymaae]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_023410960.1	1328780536	XP_023410960.1 angiotensin-converting enzyme 2 [Loxodonta africana]	800	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
NP_001124604.1	197100495	NP_001124604.1 angiotensin-converting enzyme 2 precursor [Pongo abelii]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
